Rank,Ticker,Hybrid_VPA_Score,Analysis
133,IDC,-83.55,Panic: -215, Crisis: -0, Momentum: -4, Volume: 169, VPA: 887, MCap: 0.50x2
134,TV2,-88.29,Panic: -325, Crisis: 1, Momentum: 286, Volume: 866, VPA: 3479, MCap: 0.50x2
135,APG,-95.74,Panic: -149, Crisis: 1, Momentum: 15, Volume: 218, VPA: 14, MCap: 0.75x2
136,IDI,-99.13,Panic: -149, Crisis: 0, Momentum: -59, Volume: 81, VPA: 55, MCap: 0.75x2
137,DRC,-99.49,Panic: -230, Crisis: 1, Momentum: -3, Volume: 300, VPA: 30, MCap: 0.50x2
138,GEX,-102.14,Panic: -307, Crisis: -1, Momentum: -33, Volume: 1076, VPA: 5468, MCap: 0.90x2
139,PHC,-107.11,Panic: -161, Crisis: 0, Momentum: -65, Volume: 65, VPA: 87, MCap: 0.75x2
140,C4G,-109.69,Panic: -245, Crisis: 0, Momentum: -44, Volume: 0, VPA: 78, MCap: 0.50x2
141,TIP,-111.60,Panic: -165, Crisis: 1, Momentum: -7, Volume: 0, VPA: 0, MCap: 0.75x2
142,VGI,-111.91,Panic: -307, Crisis: 2, Momentum: 378, Volume: 1016, VPA: 5177, MCap: 1.00x2
143,TDC,-114.05,Panic: -169, Crisis: 0, Momentum: -19, Volume: 0, VPA: 21, MCap: 0.75x2
144,FPT,-124.66,Panic: -301, Crisis: 1, Momentum: 2274, Volume: 840, VPA: 2751, MCap: 1.00x2
145,VNM,-130.09,Panic: -162, Crisis: -0, Momentum: -21, Volume: 185, VPA: 204, MCap: 0.95x2
146,SSH,-132.54,Panic: -208, Crisis: 0, Momentum: -32, Volume: 257, VPA: 1371, MCap: 0.90x2
147,HSG,-138.95,Panic: -311, Crisis: -0, Momentum: -47, Volume: 119, VPA: 17, MCap: 0.50x2
148,BSI,-139.28,Panic: -325, Crisis: -0, Momentum: -33, Volume: 148, VPA: 436, MCap: 0.50x2
149,BMS,-160.49,Panic: -241, Crisis: 0, Momentum: -30, Volume: 37, VPA: 103, MCap: 0.75x2
